,date,open,high,low,close,volume
0,2019-01-02,306.1,315.13,298.8,310.12,11658648
1,2019-01-03,307.0,309.4,297.38,300.36,6965184
2,2019-01-04,306.0,318.0,302.73,317.69,7394116
3,2019-01-07,321.72,336.74,317.7508,334.96,7551225
4,2019-01-08,341.96,344.01,327.02,335.35,7008516
5,2019-01-09,335.5,343.5025,331.47,338.53,5432945
6,2019-01-10,334.4,345.39,331.79,344.97,6056354
7,2019-01-11,342.09,348.41,338.77,347.26,5039052
8,2019-01-14,342.38,342.5,334.0,334.4,5247284
9,2019-01-15,335.0,348.8,334.5,344.43,6056590
10,2019-01-16,344.78,352.0,343.5,346.05,4691739
11,2019-01-17,346.21,351.5,344.15,347.31,3676733
12,2019-01-18,323.0,327.1297,299.7301,302.26,24150763
13,2019-01-22,304.82,308.0,295.5,298.92,12066741
14,2019-01-23,292.5,294.5,281.69,287.59,12529993
15,2019-01-24,283.03,293.68,279.2831,291.51,8012155
16,2019-01-25,294.39,298.5195,289.55,297.04,7258078
17,2019-01-28,292.91,297.46,287.75,296.38,6423279
18,2019-01-29,295.27,298.5566,291.8,297.46,4621692
19,2019-01-30,300.45,309.0,298.49,308.77,11250318
20,2019-01-31,301.0,311.5636,294.0,307.02,12569245
21,2019-02-01,305.42,316.1,303.5,312.21,7283441
22,2019-02-04,312.98,315.3,301.88,312.89,7352082
23,2019-02-05,312.49,322.44,312.2494,321.35,6742765
24,2019-02-06,319.59,324.24,315.624,317.22,5038546
25,2019-02-07,313.3,314.7,303.0,307.51,6520611
26,2019-02-08,306.83,307.445,298.5,305.8,5844212
27,2019-02-11,311.6,318.6,310.5,312.84,7129713
28,2019-02-12,316.2,318.19,309.62,311.81,5517570
29,2019-02-13,312.35,312.75,305.57,308.17,5141617
30,2019-02-14,303.38,306.77,301.0,303.77,5200832
31,2019-02-15,304.5,308.0,303.9,307.88,3904947
32,2019-02-19,306.56,311.5442,305.47,305.64,4168443
33,2019-02-20,304.41,306.3,299.0,302.56,7142117
34,2019-02-21,301.81,303.2399,290.5,291.23,8909182
35,2019-02-22,294.49,296.5,292.1,294.71,5740558
36,2019-02-25,297.91,302.9044,297.0005,298.77,6626522
37,2019-02-26,292.22,302.01,288.7701,297.86,8582535
38,2019-02-27,301.78,316.295,300.55,314.74,11183908
39,2019-02-28,318.92,320.0,310.81,319.88,10520653
40,2019-03-01,306.94,307.13,291.9,294.79,22911375
